active ingredients,trade_name,approval_year,indication,fda_breakthrough,fda_orphan,fda_fast_track,fda_accelerated,ema_ma_date,ema_ma_year,ema_orphan,ema_ma_type,ema_accelerated_assessment,atu,smr_value,asmr_obtained,asmr_value_asked,asmr_date,asmr_year
Alectinib ,Alecensa,2015,Cancer,1,1,0,1,2/16/17,2017,0,Normal,0,1,important,IV,IV,12/13/17,2017
Brigatinib,Alunbrig,2017,Cancer,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avelumab,Bavencio,2017,Cancer,1,1,1,1,9/18/17,2017,0,Normal,0,1,NA,NA,III,NA,NA
Inotuzumab ozogamicin,Besponsa,2017,Cancer,1,1,0,0,6/29/17,2017,1,Normal,0,1,faible,V,II,2/7/18,2018
Meningococcal group B vaccine,Bexsero,2015,Vaccine,1,0,1,1,1/14/13,2013,0,Normal,0,0,Important,II,I,6/25/14,2014
Blinatumomab ,Blincyto,2014,Cancer,1,1,0,1,11/23/15,2015,1,Conditional market autorisation,0,1,important,III,II,2/3/16,2016
Cerliponase alfa,Brineura,2017,Batten disease,1,1,0,0,5/30/17,2017,1,Normal,1,1,NA,NA,II,NA,NA
Acalabrutinib,Calquence,2017,Cancer,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daratumumab ,Darzalex,2015,Cancer,1,1,1,1,5/20/16,2016,1,Normal,1,1,important,V,III,11/22/17,2017
Dupilumab,Dupixent,2017,Skin disease,1,0,0,0,9/26/17,2017,0,Normal,0,1,On going,NA,III,NA,NA
Elotuzumab ,Empliciti,2015,Cancer,1,1,0,0,5/11/16,2016,1,Normal,1,0,Not yet,NA,NA,NA,NA
Sofosbuvir–velpatasvir ,Epclusa,2016,Hepatitis C genotypes 1-6,1,0,1,0,7/6/16,2016,0,Normal,1,0,important,IV,IV,10/19/16,2016
Pirfenidone,Esbriet,2014,Pulmonary fibrosis,1,1,1,0,2/28/11,2011,1,Normal,0,0,faible,IV,III,3/14/12,2012
Obinutuzumab ,Gazyvaro,2013,Cancer,1,1,0,0,7/23/14,2014,1,Normal,0,1,Important,III,II,2/18/15,2015
Sofosbuvir–ledipasvir ,Harvoni,2014,Hepatitis C genotype 1,1,0,1,0,11/17/14,2014,0,Normal,1,1,important,IV,II,3/4/15,2015
Emicizumab,Hemlibra,2017,Hemophilia A,1,1,0,0,2/23/18,2018,0,Normal,0,1,Not yet,NA,NA,NA,NA
Palbociclib ,Ibrance,2015,Cancer,1,0,0,1,11/9/16,2016,0,Normal,0,1,important,IV,III,5/3/17,2017
Ibrutinib ,Imbruvica,2013,Cancer,1,1,1,1,10/21/14,2014,1,Normal,0,1,important,III,II,6/17/15,2015
Durvalumab,Imfinzi,2017,Cancer,1,0,0,1,NA,NA,NA,NA,NA,1,Not yet,NA,NA,NA,NA
Valbenazine,Ingrezza,2017,"Neurology, tardive dyskinesia",1,0,1,0,NA,NA,NA,Normal,0,0,Not yet,NA,NA,NA,NA
Sebelipase alfa ,Kanuma,2015,Lysosomal acid lipase deficiency,1,1,1,0,8/28/15,2015,1,Normal,1,1,important,III,I,7/19/17,2017
Pembrolizumab ,Keytruda,2014,Cancer,1,1,0,1,7/17/15,2015,0,Normal,0,1,important,IV,II,3/16/16,2016
Ribociclib,Kisqali,2017,Cancer,1,0,0,0,8/22/17,2017,0,Normal,0,0,important,V,III,1/31/18,2018
Olaratumab ,Lartruvo,2016,Cancer,1,1,1,1,11/9/16,2016,1,Conditional market autorisation,1,1,Not yet,NA,NA,NA,NA
Glecaprevir-pibrentasvir,Mavyret,2017,Hepatitis C genotypes 1-6,1,0,1,0,7/26/17,2017,0,Normal,1,1,important,IV,IV,12/6/17,2017
Pimavanserin,Nuplazid,2016,Parkinson's disease psychosis,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ocrelizumab,Ocrevus,2017,Multiple sclerosis,1,0,1,0,1/8/17,2017,0,Normal,0,1,On going,NA,III,NA,NA
Nintedanib,Ofev,2014,Pulmonary fibrosis,1,1,1,0,1/15/15,2015,1,Normal,1,1,modéré,IV,IV,5/20/15,2015
Nivolumab ,Opdivo,2014,Cancer,1,1,1,1,6/19/15,2015,0,Normal,0,1,important,III,II,1/13/16,2016
Ivacaftor–lumacaftor ,Orkambi,2015,Cystic fibrosis,1,1,1,0,11/19/15,2015,1,Normal,0,1,important,IV,II,6/22/16,2016
Idarucizumab ,Praxbind,2015,Dabigatran side effects,1,1,1,1,11/19/15,2015,0,Normal,1,1,important,V,IV,5/25/16,2016
Letermovir,Prevymis,2017,"Infectious disease, CMV",1,1,1,0,1/8/18,2018,0,Normal,0,1,On going,NA,NA,NA,NA
Rucaparib ,Rubraca,2016,Cancer,1,1,0,1,5/24/18,2018,1,Normal,0,0,Not yet,NA,NA,NA,NA
Midostaurin,Rydapt,2017,Cancer,1,1,1,0,9/18/17,2017,1,Normal,0,1,Not yet,NA,NA,NA,NA
Sofosbuvir ,Sovaldi,2013,Hepatitis C genotypes 1-4,1,0,1,0,1/16/14,2014,0,Normal,1,1,important,II,II,5/14/14,2014
Asfotase alfa ,Strensiq,2015,Hypophosphatasia,1,1,1,0,8/28/15,2015,1,Under exceptional circumstance,0,0,important,II,II,3/16/16,2016
Osimertinib ,Tagrisso,2015,Cancer,1,1,1,1,2/2/16,2016,0,Conditional market autorisation,1,1,important,V,III,9/21/16,2016
Atezolizumab ,Tecentriq,2016,Cancer,1,0,0,1,9/21/17,2017,0,Normal,0,1,On going,NA,IV,NA,NA
Meningococcal group B vaccine,Trumenba,2014,Vaccine,1,0,1,1,5/24/17,2017,0,Normal,0,0,Not yet,NA,NA,NA,NA
Venetoclax ,Venclyxto,2016,Cancer,1,1,0,1,12/5/16,2016,1,Conditional market autorisation,0,1,important,V,III,7/5/17,2017
